 name	 vol(cu.units)	 len(units)	 <r>_vl(units)	 <r>_obs(units)	 par	 num_child	 children...		
16.01	483.072	15.0907	3.19209	3.97007	nan	2	17.01	12.01	
17.01	3508.22	82.5847	3.67722	3.64246	16	0			
12.01	4164.86	32.7695	6.36049	5.45338	16	2	13.01	8.01	
13.01	1218.82	42.0678	3.03682	2.32368	12	2	18.01	19.01	
18.01	154.368	4.52548	3.29512	1.99537	13	2	22.01	23.01	
22.01	115.2	15.9246	1.51746	1.5841	18	0			
23.01	834.048	93.3327	1.68657	1.37087	18	0			
19.01	817.92	163.376	1.26237	0.849075	13	0			
8.01	1437.7	7.708	7.70527	5.94304	12	2	9.01	5.01	
9.01	3423.74	137.531	2.81498	2.15711	8	2	14.01	15.01	
14.01	2013.7	158.293	2.01229	1.73747	9	2	20.01	21.01	
20.01	41.472	10.6168	1.11508	0.64	14	0			
21.01	73.728	22.6365	1.01821	0.576471	14	0			
15.01	571.392	74.7372	1.56	1.47452	9	0			
5.01	8676.86	58.4262	6.87548	10.9923	8	2	3.01	4.01	
3.01	834.048	20.5482	3.59446	2.59129	5	3	1.01	2.01	0.01
1.01	115.2	14.6077	1.58438	1.52351	3	0			
2.01	1516.03	177.319	1.64969	1.30471	3	0			
0.01	953.856	69.8266	2.08524	1.88658	3	0			
4.01	562.176	21.8676	2.86062	1.93273	5	2	6.01	7.01	
6.01	239.616	25.562	1.72737	1.55532	4	0			
7.01	1331.71	61.2503	2.63073	1.83071	4	2	10.01	11.01	
10.01	1520.64	153.897	1.77347	1.4859	7	0			
11.01	658.944	87.5993	1.54739	1.4288	7	0			
4.2	294.912	9.18273	3.19731	3.14808	N/A	2	3.2	1.2	
3.2	119.808	9.97075	1.95571	2.29738	4	0			
1.2	2939.9	56.7855	4.0595	3.81991	4	2	0.2	2.2	
0.2	603.648	48.4998	1.99043	2.05666	1	0			
2.2	207.36	32.4389	1.42644	1.82959	1	0			
2.3	110.592	9.95411	1.88055	1.62103	N/A	2	0.3	1.3	
0.3	18.432	2.26274	1.61025	0.85	2	0			
1.3	345.6	51.2436	1.46518	1.43706	2	0			
0.4	6605.57	114.112	4.29255	4.50899	N/A	2	1.4	2.4	
1.4	269.568	21.6993	1.98855	2.33499	0	0			
2.4	64.512	7.56243	1.64784	1.52709	0	0			
2.5	499.2	45.5234	1.86829	1.62155	N/A	2	0.5	1.5	
0.5	19.968	8.5338	0.86302	0	2	0			
1.5	1.536	0.5	0.988862	0	2	0			
0.6	1658.88	57.511	3.0301	3.06876	N/A	2	1.6	2.6	
1.6	175.104	18.8079	1.72148	1.87489	0	0			
2.6	580.608	25.5157	2.6913	2.77242	0	0			
1.7	1.43E+232	0.5	9.54E+115	2	N/A	0			
1.8	7.96E-77	0.5	7.12E-39	2	N/A	0			
1.9	9.216	0.5	2.42221	2	N/A	0			
