 name	 vol(cu.units)	 len(units)	 <r>_vl(units)	 <r>_obs(units)	 par	 num_child	 children...		
22.001	8881.15	64.073	6.64235	9.7123	nan	2	21.001	13.001	
21.001	3607.97	21.496	7.30932	6.91578	22	3	27.001	28.001	29.001
27.001	8084.61	28.9179	9.43347	10.2187	21	2	35.001	36.001	
35.001	9099.1	14.5427	14.1124	16.3279	27	3	41.001	42.001	43.001
41.001	241.472	3.94558	4.4137	3.09706	35	2	54.001	55.001	
54.001	558.208	7.5799	4.84163	3.51214	41	2	72.001	73.001	
72.001	473.536	12.9775	3.40805	2.5041	54	2	91.001	92.001	
91.001	9084.99	18.6148	12.464	28.5895	72	2	103.001	104.001	
103.001	65.856	17.4888	1.09482	0.742857	91	0			
104.001	53.312	17.6682	0.980036	0.736825	91	0			
92.001	194.432	4.7799	3.59832	2.3833	72	2	84.001	102.001	
84.001	216.384	29.1422	1.53736	1.32448	92	3	66.001	85.001	86.001
66.001	97.216	11.158	1.66533	1.34048	84	2	67.001	50.001	
67.001	172.48	25.2623	1.47421	1.14955	66	0			
50.001	551.936	24.8285	2.66008	2.00933	66	2	51.001	39.001	
51.001	1116.42	61.2155	2.40939	2.18266	50	0			
39.001	12280.6	42.3932	9.60255	14.3789	50	1	40.001		
40.001	43628	90.9119	12.3594	17.9026	39	2	52.001	53.001	
52.001	987.84	53.9896	2.41331	2.47373	40	2	68.001	69.001	
68.001	9.408	0	inf	1.17534	52	2	87.001	88.001	
87.001	31.36	6.79764	1.21181	0.89799	68	2	79.001	97.001	
79.001	537.824	28.2315	2.46251	2.4541	87	2	60.001	78.001	
60.001	53.312	0.5	5.82576	2.53305	79	2	47.001	61.001	
47.001	238.336	4.52548	4.09437	2.75663	60	2	37.001	46.001	
37.001	53.312	0.5	5.82576	2.11553	47	1	38.001		
38.001	313.6	13.7226	2.69709	2.36367	37	2	48.001	49.001	
48.001	34.496	1.4	2.80056	1.75802	38	2	62.001	63.001	
62.001	19248.2	514.725	3.45011	4.90275	48	0			
63.001	37.632	10.451	1.0706	0.910502	48	0			
49.001	329.28	21.3403	2.21619	1.74888	38	2	64.001	65.001	
64.001	53.312	12.8314	1.15001	0.764706	49	2	82.001	83.001	
82.001	6.272	2.54558	0.885593	0	64	0			
83.001	68.992	7.32548	1.73144	1.56313	64	2	100.001	101.001	
100.001	119.168	17.0148	1.49311	1.16436	83	0			
101.001	25916.9	406.483	4.50501	6.42516	83	0			
65.001	112.896	10.7432	1.82893	1.49581	49	0			
46.001	2091.71	57.36	3.40699	4.93144	47	0			
61.001	228.928	4.52548	4.01275	2.78646	60	2	80.001	81.001	
80.001	172.48	21.3025	1.60539	1.70229	61	0			
81.001	388.864	7.48583	4.06634	2.73787	61	2	98.001	99.001	
98.001	216.384	36.802	1.36805	1.37097	81	0			
99.001	166.208	4.10593	3.58959	2.32635	81	2	107.001	108.001	
107.001	260.288	31.4848	1.62219	1.43456	99	0			
108.001	351.232	12.3036	3.01444	2.20247	99	2	113.001	114.001	
113.001	746.368	96.778	1.5668	1.74931	108	0			
114.001	47.04	5.9397	1.58773	1.26517	108	0			
78.001	249.312	35.4446	1.49631	1.39698	79	0			
97.001	18.816	6.32603	0.973023	0.233333	87	0			
88.001	21.952	4.52548	1.2426	0.882843	68	0			
69.001	109.76	18.0119	1.39273	1.07764	52	0			
53.001	304.192	5.3598	4.25035	2.87071	40	2	70.001	71.001	
70.001	476.672	25.903	2.42025	1.84711	53	2	89.001	90.001	
89.001	18.816	4.52548	1.15042	0.7	70	0			
90.001	122.304	20.7889	1.36845	1.11311	70	0			
71.001	636.608	31.6966	2.52845	2.06795	53	0			
